学科,文科一類,文科二類,文科三類,文科枠,理科一類,理科二類,理科三類,理科枠,全科類
法学部,118,1,1,0,1,1,0,2,0
経済学部,0,81,0,0,0,0,0,3,18
文哲学,0,0,3,0,0,0,0,0,3
文中国思想,0,0,2,0,0,0,0,0,2
文イン_x0008_哲,0,0,3,0,0,0,0,0,2
文倫理,0,0,2,0,0,0,0,0,3
文宗教,0,0,1,0,0,0,0,0,2
文美学,0,0,1,0,0,0,0,0,2
文イスラム,0,0,1,0,0,0,0,0,2
文日本史,0,0,2,0,0,0,0,0,3
文東洋史,0,0,4,0,0,0,0,0,3
文西洋史,0,0,2,0,0,0,0,0,2
文考古学,0,0,3,0,0,0,0,0,2
文美術,0,0,1,0,0,0,0,0,2
文言語,0,0,2,0,0,0,0,0,2
文日本（国語）,0,0,2,0,0,0,0,0,2
文日本（国文）,0,0,5,0,0,0,0,0,3
文中国語,0,0,1,0,0,0,0,0,2
文インド語,0,0,1,0,0,0,0,0,2
文英語,0,0,5,0,0,0,0,0,3
文ドイ語,0,0,3,0,0,0,0,0,2
文フラ語,0,0,3,0,0,0,0,0,3
文スラヴ語,0,0,1,0,0,0,0,0,2
文南欧語,0,0,1,0,0,0,0,0,2
文現代文芸,0,0,0,0,0,0,0,0,1
文西洋古典,0,0,1,0,0,0,0,0,2
文心理,0,0,2,0,0,0,0,0,4
文社会心理,0,0,2,0,0,0,0,0,3
文社会,0,0,10,0,0,0,0,0,7
基礎教育,0,0,4,0,0,0,0,0,0
比教社,0,0,3,0,0,0,0,0,0
教育実践,0,0,4,0,0,0,0,0,0
教育心理,0,0,4,0,0,0,0,2,0
身体教育,0,0,0,0,0,0,0,0,0
教養学科,6,6,15,0,0,0,0,4,0
統合自然科学科,0,0,0,1,0,0,16,0,0
学際A,0,0,0,3,0,0,0,1,0
学際B,0,0,0,1,0,0,0,2,0
社会基盤学B,0,0,0,0,6,0,0,0,0
社会基盤学C,0,0,0,0,3,0,0,0,0
建築,0,0,0,0,15,0,0,2,0
都市環境工学,0,0,0,0,4,0,0,2,2
都市計画,0,0,0,0,10,0,0,0,2
機械A,0,0,0,0,25,0,0,0,0
機械B,0,0,0,0,12,0,0,0,0
航空宇宙,0,0,0,0,15,0,0,0,0
精密工学,0,0,0,0,11,0,0,3,0
電子情報,0,0,0,0,12,0,0,8,3
電気電子,0,0,0,0,16,0,0,5,8
物理工学,0,0,0,0,10,0,0,2,5
計数工学,0,0,0,0,15,0,0,0,2
マテA,0,0,0,0,6,0,0,0,0
マテB,0,0,0,0,7,0,0,0,0
マテC,0,0,0,0,7,2,0,0,0
応用化学,0,0,0,0,13,2,0,2,0
化学システム,0,0,0,0,11,3,0,0,2
化学生命,0,0,0,0,9,5,0,0,0
シス創A,0,0,0,0,11,1,0,0,0
シス創B,0,0,0,0,10,0,0,0,0
シス創C,0,0,0,0,12,1,0,0,0
数学,0,0,0,0,0,0,0,0,13
情報科学,0,0,0,0,0,0,0,0,8
物理,0,0,0,0,0,0,0,0,21
天文,0,0,0,0,0,0,0,0,2
地惑物理,0,0,0,0,0,0,0,0,9
地惑環境,0,0,0,0,0,0,0,4,2
化学,0,0,0,0,0,0,0,13,0
生物化学,0,0,0,0,0,0,0,6,0
生物情報科学,0,0,0,0,0,0,0,3,0
生物,0,0,0,0,0,0,0,0,6
生命化学,0,0,0,0,0,0,0,23,0
応用生物,0,0,0,0,0,0,0,8,0
森林生物,0,0,0,0,0,0,0,3,0
水園生物,0,0,0,0,0,0,0,6,0
動物生命システム,0,0,0,0,0,2,0,0,0
生物素材,0,0,0,0,0,0,0,4,0
緑地環境,0,0,0,0,0,0,0,1,0
森林環境資源,0,0,0,1,0,0,0,3,0
木質構造科学,0,0,0,0,0,0,0,2,0
生物・環境工学,0,0,0,1,0,0,0,7,0
農経,0,0,0,3,0,0,0,6,0
フィールド科学,0,0,0,0,0,0,0,2,0
国際開発農学,0,0,0,0,0,0,0,6,0
獣医,0,0,0,0,0,8,0,0,0
薬学部,0,0,0,0,0,0,0,24,0
医学部医学科,0,0,0,0,0,0,33,0,0
医学部健康総合,0,0,0,0,0,0,0,8,0
教養Peak教養学科国際日本研究コース,0,0,0,0,0,0,0,2,0
教養Peak学際科学科国際環境学コース,0,0,0,0,0,0,0,2,0
社会基盤A,0,0,0,0,6,0,0,0,0
